"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/04/2026";"0000";"16,5";"17,0";"16,5";"";"";"";"";"";"";"906,8";"906,8";"906,4";"3,5";"33,0";"6,8";"";"0,0"
"01/04/2026";"0100";"16,7";"16,7";"16,3";"";"";"";"";"";"";"907,5";"907,5";"906,8";"3,0";"47,0";"6,4";"";"0,0"
"01/04/2026";"0200";"17,0";"17,0";"16,7";"";"";"";"";"";"";"907,4";"907,5";"907,4";"3,7";"66,0";"7,2";"";"0,0"
"01/04/2026";"0300";"16,9";"17,0";"16,9";"";"";"";"";"";"";"906,8";"907,4";"906,8";"4,4";"34,0";"6,1";"";"0,0"
"01/04/2026";"0400";"16,8";"16,9";"16,7";"";"";"";"17,4";"";"";"906,6";"906,9";"906,6";"3,8";"57,0";"7,4";"";"0,0"
"01/04/2026";"0500";"16,8";"16,9";"16,7";"94,0";"";"94,0";"15,8";"17,4";"15,8";"906,3";"906,6";"906,2";"4,3";"68,0";"7,4";"";"0,0"
"01/04/2026";"0600";"16,5";"16,8";"16,5";"";"";"89,0";"";"17,1";"14,9";"905,6";"906,4";"905,6";"3,7";"27,0";"6,3";"";"0,0"
"01/04/2026";"0700";"15,1";"16,5";"15,1";"";"";"";"";"";"";"905,6";"905,6";"905,5";"2,5";"55,0";"5,4";"";"0,0"
"01/04/2026";"0800";"14,6";"15,1";"14,5";"";"";"";"";"";"";"905,3";"905,6";"905,2";"1,3";"50,0";"3,6";"";"0,0"
"01/04/2026";"0900";"14,0";"14,6";"13,9";"";"";"";"";"";"";"905,6";"905,6";"905,3";"2,6";"85,0";"3,2";"";"0,0"
"01/04/2026";"1000";"13,7";"14,5";"13,7";"";"";"";"";"";"";"906,1";"906,1";"905,6";"1,0";"30,0";"3,4";"16,40";"0,0"
"01/04/2026";"1100";"15,1";"15,2";"13,5";"";"";"";"";"";"";"907,0";"907,0";"906,1";"2,2";"66,0";"3,1";"200,50";"0,0"
"01/04/2026";"1200";"17,9";"18,3";"15,1";"85,0";"";"";"15,3";"";"";"907,5";"907,5";"907,1";"3,4";"65,0";"5,2";"919,00";"0,0"
"01/04/2026";"1300";"19,4";"19,9";"17,8";"79,0";"87,0";"74,0";"15,6";"16,1";"14,5";"907,7";"907,7";"907,4";"3,6";"73,0";"6,3";"1779,30";"0,0"
"01/04/2026";"1400";"20,1";"20,8";"19,0";"70,0";"80,0";"68,0";"14,5";"15,9";"14,4";"907,4";"907,7";"907,3";"4,8";"44,0";"6,8";"1833,80";"0,0"
"01/04/2026";"1500";"21,2";"21,5";"20,1";"69,0";"73,0";"66,0";"15,2";"15,6";"14,5";"906,8";"907,4";"906,8";"4,8";"43,0";"8,3";"2177,80";"0,0"
"01/04/2026";"1600";"21,5";"22,2";"20,9";"67,0";"71,0";"63,0";"15,2";"15,9";"14,2";"906,2";"906,8";"906,2";"2,9";"30,0";"7,2";"1584,30";"0,0"
"01/04/2026";"1700";"21,4";"22,3";"21,3";"67,0";"70,0";"64,0";"15,1";"16,0";"14,8";"905,5";"906,2";"905,5";"3,8";"65,0";"7,6";"1292,80";"0,0"
"01/04/2026";"1800";"22,8";"23,2";"21,4";"64,0";"69,0";"60,0";"15,6";"16,2";"14,4";"904,9";"905,5";"904,9";"3,0";"67,0";"6,4";"1939,10";"0,0"
"01/04/2026";"1900";"23,3";"23,7";"22,1";"60,0";"65,0";"60,0";"15,1";"15,9";"14,6";"904,5";"904,9";"904,5";"5,1";"109,0";"6,8";"1551,40";"0,0"
"01/04/2026";"2000";"20,4";"23,3";"20,4";"75,0";"76,0";"60,0";"15,9";"16,0";"14,9";"905,1";"905,1";"904,4";"4,3";"56,0";"8,0";"664,30";"0,0"
