"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"12/05/2025";"0000";"20,3";"21,3";"20,3";"78,0";"78,0";"74,0";"16,4";"16,5";"16,3";"970,1";"970,1";"969,3";"2,5";"100,0";"7,1";"";"0,0"
"12/05/2025";"0100";"19,7";"20,3";"19,7";"78,0";"80,0";"77,0";"15,7";"16,4";"15,7";"970,1";"970,3";"970,0";"2,6";"99,0";"8,6";"";"0,0"
"12/05/2025";"0200";"19,4";"19,9";"19,4";"76,0";"78,0";"75,0";"15,0";"15,6";"15,0";"970,6";"970,6";"970,1";"2,9";"100,0";"9,2";"";"0,0"
"12/05/2025";"0300";"18,5";"19,4";"18,5";"80,0";"80,0";"76,0";"14,9";"15,1";"14,9";"970,5";"970,7";"970,4";"3,1";"103,0";"8,1";"";"0,0"
"12/05/2025";"0400";"17,8";"18,5";"17,8";"78,0";"80,0";"77,0";"13,8";"14,9";"13,8";"969,9";"970,5";"969,9";"3,7";"101,0";"9,4";"";"0,0"
"12/05/2025";"0500";"17,1";"17,8";"17,1";"81,0";"81,0";"78,0";"13,8";"13,8";"13,7";"969,9";"970,0";"969,9";"2,8";"99,0";"10,0";"";"0,0"
"12/05/2025";"0600";"16,6";"17,1";"16,6";"83,0";"83,0";"81,0";"13,7";"13,8";"13,6";"969,5";"970,0";"969,5";"3,2";"107,0";"8,7";"";"0,0"
"12/05/2025";"0700";"16,3";"16,6";"16,2";"84,0";"84,0";"83,0";"13,6";"13,7";"13,6";"969,4";"969,5";"969,4";"2,9";"103,0";"7,6";"";"0,0"
"12/05/2025";"0800";"16,3";"16,3";"16,1";"83,0";"85,0";"83,0";"13,5";"13,6";"13,5";"969,1";"969,5";"969,1";"3,3";"103,0";"7,6";"";"0,0"
"12/05/2025";"0900";"16,3";"16,4";"16,2";"84,0";"84,0";"83,0";"13,6";"13,6";"13,5";"969,3";"969,3";"969,0";"3,1";"100,0";"8,1";"";"0,0"
"12/05/2025";"1000";"16,1";"16,3";"16,0";"86,0";"86,0";"84,0";"13,6";"13,6";"13,6";"970,2";"970,2";"969,3";"2,5";"100,0";"7,6";"2,10";"0,0"
"12/05/2025";"1100";"17,0";"17,0";"16,0";"83,0";"86,0";"83,0";"14,2";"14,2";"13,6";"970,6";"970,6";"970,2";"2,5";"103,0";"8,0";"115,30";"0,0"
"12/05/2025";"1200";"19,1";"19,1";"17,0";"76,0";"83,0";"75,0";"14,6";"14,6";"14,0";"971,2";"971,3";"970,5";"3,9";"93,0";"9,3";"395,30";"0,0"
"12/05/2025";"1300";"21,9";"21,9";"19,1";"66,0";"76,0";"66,0";"15,2";"15,6";"14,4";"971,6";"971,6";"971,2";"3,2";"95,0";"8,8";"607,20";"0,0"
"12/05/2025";"1400";"23,4";"23,8";"21,1";"61,0";"68,0";"59,0";"15,5";"16,1";"14,5";"971,4";"971,7";"971,4";"2,7";"104,0";"9,0";"2026,90";"0,0"
"12/05/2025";"1500";"24,6";"24,7";"22,8";"58,0";"63,0";"57,0";"15,8";"16,5";"14,8";"970,7";"971,4";"970,7";"2,8";"109,0";"7,5";"2322,70";"0,0"
"12/05/2025";"1600";"25,4";"26,0";"24,3";"57,0";"60,0";"54,0";"16,2";"16,9";"15,4";"969,6";"970,7";"969,6";"3,1";"101,0";"8,3";"2643,60";"0,0"
"12/05/2025";"1700";"26,2";"26,5";"25,3";"56,0";"58,0";"52,0";"16,7";"17,0";"15,6";"968,7";"969,7";"968,7";"2,3";"102,0";"8,3";"2468,80";"0,0"
"12/05/2025";"1800";"26,8";"26,9";"26,0";"54,0";"57,0";"52,0";"16,6";"17,2";"15,5";"968,0";"968,7";"968,0";"2,1";"107,0";"6,7";"2047,40";"0,0"
"12/05/2025";"1900";"26,3";"27,1";"26,3";"54,0";"57,0";"52,0";"16,4";"17,3";"16,1";"967,8";"968,0";"967,8";"2,0";"124,0";"6,1";"1381,00";"0,0"
