"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"05/04/2026";"0000";"24,8";"25,4";"24,8";"91,0";"91,0";"89,0";"23,2";"23,4";"23,1";"1012,1";"1012,1";"1011,6";"0,7";"59,0";"2,1";"";"0,0"
"05/04/2026";"0100";"24,8";"25,0";"24,8";"91,0";"91,0";"90,0";"23,2";"23,3";"23,1";"1012,3";"1012,3";"1012,1";"1,1";"61,0";"2,1";"";"0,0"
"05/04/2026";"0200";"24,0";"24,8";"24,0";"94,0";"94,0";"91,0";"22,9";"23,2";"22,9";"1012,1";"1012,3";"1012,0";"0,3";"83,0";"2,1";"";"0,0"
"05/04/2026";"0300";"23,6";"24,1";"23,5";"96,0";"96,0";"94,0";"22,9";"23,1";"22,8";"1011,8";"1012,1";"1011,8";"0,9";"286,0";"1,5";"";"0,0"
"05/04/2026";"0400";"23,7";"23,7";"23,5";"98,0";"98,0";"96,0";"23,3";"23,3";"22,8";"1011,2";"1011,8";"1011,2";"1,1";"269,0";"2,0";"";"0,0"
"05/04/2026";"0500";"23,3";"23,9";"23,3";"98,0";"98,0";"98,0";"23,0";"23,5";"23,0";"1010,7";"1011,2";"1010,7";"1,0";"294,0";"2,2";"";"0,0"
"05/04/2026";"0600";"23,4";"23,5";"23,2";"99,0";"99,0";"98,0";"23,1";"23,3";"22,9";"1010,5";"1010,7";"1010,4";"0,7";"253,0";"2,0";"";"0,0"
"05/04/2026";"0700";"23,1";"23,4";"23,1";"99,0";"99,0";"99,0";"22,9";"23,3";"22,9";"1010,6";"1010,6";"1010,4";"1,1";"271,0";"2,1";"";"0,0"
"05/04/2026";"0800";"23,0";"23,2";"23,0";"99,0";"99,0";"99,0";"22,9";"23,0";"22,8";"1010,6";"1010,6";"1010,5";"0,3";"262,0";"1,5";"";"0,0"
"05/04/2026";"0900";"22,8";"23,0";"22,8";"99,0";"99,0";"99,0";"22,6";"22,8";"22,6";"1011,1";"1011,1";"1010,6";"0,9";"265,0";"1,5";"6,10";"0,0"
"05/04/2026";"1000";"24,9";"24,9";"22,8";"95,0";"99,0";"95,0";"24,1";"24,2";"22,6";"1011,7";"1011,7";"1011,1";"1,0";"282,0";"1,6";"412,80";"0,0"
