"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/05/2026";"0000";"20,0";"20,8";"20,0";"84,0";"84,0";"82,0";"17,3";"17,6";"17,3";"1018,4";"1018,4";"1017,9";"0,7";"221,0";"1,9";"";"0,0"
"01/05/2026";"0100";"19,7";"20,0";"19,7";"86,0";"86,0";"84,0";"17,2";"17,3";"17,2";"1018,6";"1018,7";"1018,3";"0,7";"206,0";"2,0";"";"0,0"
"01/05/2026";"0200";"18,9";"19,7";"18,9";"87,0";"87,0";"86,0";"16,7";"17,2";"16,7";"1018,9";"1018,9";"1018,6";"0,9";"227,0";"2,0";"";"0,0"
"01/05/2026";"0300";"18,7";"18,9";"18,6";"88,0";"88,0";"87,0";"16,6";"16,8";"16,5";"1018,7";"1019,1";"1018,7";"0,7";"199,0";"2,4";"";"0,0"
"01/05/2026";"0400";"18,2";"18,7";"18,2";"89,0";"89,0";"88,0";"16,3";"16,6";"16,3";"1018,3";"1018,8";"1018,2";"0,7";"206,0";"2,5";"";"0,0"
"01/05/2026";"0500";"18,0";"18,2";"18,0";"89,0";"89,0";"89,0";"16,2";"16,3";"16,2";"1017,8";"1018,3";"1017,8";"1,2";"207,0";"3,1";"";"0,0"
"01/05/2026";"0600";"17,6";"18,0";"17,5";"89,0";"89,0";"89,0";"15,8";"16,2";"15,7";"1017,5";"1017,8";"1017,4";"1,3";"236,0";"3,0";"";"0,0"
"01/05/2026";"0700";"17,2";"17,6";"17,2";"90,0";"90,0";"89,0";"15,5";"15,8";"15,5";"1016,9";"1017,5";"1016,9";"1,0";"213,0";"3,3";"";"0,0"
"01/05/2026";"0800";"17,4";"17,4";"17,0";"90,0";"90,0";"90,0";"15,7";"15,7";"15,3";"1017,0";"1017,0";"1016,8";"1,6";"223,0";"3,6";"";"0,0"
"01/05/2026";"0900";"17,0";"17,4";"17,0";"90,0";"90,0";"90,0";"15,3";"15,7";"15,3";"1017,5";"1017,5";"1017,0";"1,4";"221,0";"3,8";"";"0,0"
"01/05/2026";"1000";"16,8";"17,0";"16,7";"90,0";"91,0";"90,0";"15,2";"15,3";"15,1";"1018,3";"1018,3";"1017,5";"1,3";"211,0";"3,6";"7,60";"0,0"
"01/05/2026";"1100";"17,6";"17,6";"16,8";"90,0";"91,0";"90,0";"16,0";"16,0";"15,2";"1019,0";"1019,0";"1018,3";"2,0";"226,0";"5,0";"214,30";"0,0"
"01/05/2026";"1200";"19,1";"19,1";"17,6";"90,0";"90,0";"90,0";"17,4";"17,4";"16,0";"1019,2";"1019,3";"1019,0";"2,3";"246,0";"5,0";"548,70";"0,0"
"01/05/2026";"1300";"21,4";"21,4";"19,1";"87,0";"90,0";"86,0";"19,0";"19,0";"17,3";"1019,2";"1019,3";"1019,0";"2,2";"237,0";"4,4";"1825,50";"0,0"
"01/05/2026";"1400";"23,1";"23,1";"21,3";"84,0";"87,0";"83,0";"20,2";"20,2";"18,8";"1018,6";"1019,2";"1018,6";"1,4";"231,0";"4,1";"1874,50";"0,0"
"01/05/2026";"1500";"24,0";"24,8";"23,1";"80,0";"84,0";"79,0";"20,3";"21,4";"20,0";"1017,4";"1018,6";"1017,4";"1,8";"267,0";"3,6";"2335,30";"0,0"
"01/05/2026";"1600";"25,6";"25,7";"24,0";"74,0";"81,0";"74,0";"20,7";"21,1";"20,1";"1016,4";"1017,4";"1016,4";"1,8";"355,0";"4,3";"2538,90";"0,0"
"01/05/2026";"1700";"26,4";"26,5";"25,5";"70,0";"75,0";"70,0";"20,6";"21,1";"20,2";"1015,3";"1016,4";"1015,3";"2,3";"354,0";"4,2";"2385,80";"0,0"
"01/05/2026";"1800";"26,6";"27,1";"26,1";"66,0";"71,0";"66,0";"19,8";"20,8";"19,8";"1014,6";"1015,3";"1014,6";"2,6";"22,0";"5,4";"2230,10";"0,0"
