Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m²),Chuva (mm)
01/06/2026,0,,,,,,,,,,"942,1","942,1","941,9",2,65,"3,8",,0
01/06/2026,100,,,,,,,,,,"942,3","942,3","942,1","1,4",2,"2,6",,"0,2"
01/06/2026,200,,,,,,,,,,"942,2","942,4","942,2","0,6",236,"1,9","0,2",0
01/06/2026,300,,,,,,,,,,"942,3","942,4","942,2","0,8",24,"2,1",,0
01/06/2026,400,,,,,,,,,,"941,9","942,3","941,9","1,3",36,"2,7",,0
01/06/2026,500,,,,,,,,,,"941,8","941,9","941,8","0,4",107,"3,2",,0
01/06/2026,600,,,,,,,,,,"941,3","941,8","941,3","1,3",59,"2,7","0,5",0
01/06/2026,700,,,,,,,,,,"941,1","941,3",941,1,46,"3,2","0,6",0
01/06/2026,800,,,,,,,,,,"941,6","941,7","941,1","1,7",218,"2,6","0,2",0
01/06/2026,900,,,,,,,,,,"941,8","941,8","941,5","0,8",355,"2,6",,0
01/06/2026,1000,,,,,,,,,,"942,4","942,5","941,8","0,9",41,"1,8",,0
01/06/2026,1100,,,,,,,,,,"942,8","942,9","942,4","2,4",80,"3,1",76,0
01/06/2026,1200,,,,,,,,,,"943,2","943,3","942,8",2,100,"3,2","416,1",0
01/06/2026,1300,,,,,,,,,,"943,5","943,6","943,2","2,8",88,"4,2","784,3",0
01/06/2026,1400,,,,,,,,,,"943,7","943,7","943,5","2,2",75,"4,2","1526,7",0
01/06/2026,1500,,,,,,,,,,"943,5","943,9","943,5","1,2",294,"4,1","2165,8",0
01/06/2026,1600,,,,,,,,,,"942,9","943,5","942,9","1,6",82,"4,7","2399,3",0
01/06/2026,1700,,,,,,,,,,"942,5","942,9","942,5","1,6",184,4,"2273,5",0
01/06/2026,1800,,,,,,,,,,942,"942,5",942,"1,2",172,"5,2","1887,5",0
01/06/2026,1900,,,,,,,,,,"941,7",942,"941,7","0,4",34,4,"1378,6",0
01/06/2026,2000,,,,,,,,,,942,942,"941,7","2,4",189,"3,6","705,5",0
01/06/2026,2100,,,,,,,,,,"942,5","942,5",942,"2,4",139,"4,2","110,8",0
01/06/2026,2200,,,,,,,,,,"942,4","942,6","942,4","1,8",90,"3,5",,0
01/06/2026,2300,,,,,,,,,,"942,8","942,8","942,4","0,5",240,"2,8",,0
02/06/2026,0,,,,,,,,,,943,"943,1","942,8","0,6",82,"1,3",,0
02/06/2026,100,,,,,,,,,,"943,1","943,1",943,"2,7",79,"3,4",,0
02/06/2026,200,,,,,,,,,,"943,3","943,4","943,1","2,8",94,"3,6",,0
02/06/2026,300,,,,,,,,,,"943,3","943,4","943,3","3,1",86,"4,1",,0
02/06/2026,400,,,,,,,,,,"943,3","943,3","943,1","2,3",98,"4,1",,0
02/06/2026,500,,,,,,,,,,"943,4","943,4","943,1","1,8",106,4,,0
02/06/2026,600,,,,,,,,,,943,"943,5",943,"2,4",86,"3,5",,0
02/06/2026,700,,,,,,,,,,943,"943,1",943,"3,4",67,"4,1",,0
02/06/2026,800,,,,,,,,,,"942,9",943,"942,9","4,3",80,"5,8",,0
02/06/2026,900,,,,,,,,,,"942,9",943,"942,8","4,5",88,"5,6",,0
02/06/2026,1000,,,,,,,,,,"943,6","943,7","942,9","4,7",92,6,,0
02/06/2026,1100,,,,,,,,,,"944,5","944,5","943,6","4,5",98,"6,5","43,5",0
02/06/2026,1200,,,,,,,,,,"945,2","945,2","944,5","5,1",95,7,"284,2",0
02/06/2026,1300,,,,,,,,,,"945,7","945,7","945,2","3,8",98,"6,9","722,4",0
02/06/2026,1400,,,,,,,,,,946,"946,1","945,7","3,5",101,"5,6","1902,3",0
02/06/2026,1500,,,,,,,,,,"945,4",946,"945,4","2,9",105,"5,6","2270,1",0
02/06/2026,1600,,,,,,,,,,"944,7","945,4","944,7","1,7",80,"4,9","2410,5",0
02/06/2026,1700,,,,,,,,,,"944,1","944,7","944,1","1,1",121,"4,2","2239,6",0
02/06/2026,1800,,,,,,,,,,"943,8","944,1","943,7",2,262,"4,3","1866,1","0,2"
02/06/2026,1900,,,,,,,,,,"943,6","943,8","943,5","2,3",214,"4,3","1364,2",0
02/06/2026,2000,,,,,,,,,,944,944,"943,5","2,9",208,"4,1","693,6",0
02/06/2026,2100,,,,,,,,,,"944,3","944,3",944,"1,9",165,"4,1","101,3",0
02/06/2026,2200,,,,,,,,,,"944,5","944,5","944,3","2,6",101,"3,3",,0
02/06/2026,2300,,,,,,,,,,"944,8","944,8","944,5","3,3",93,4,,0
03/06/2026,0,,,,,,,,,,"945,3","945,3","944,8","3,2",84,4,,0
03/06/2026,100,,,,,,,,,,"945,4","945,4","945,3","2,9",81,"4,1",,0
03/06/2026,200,,,,,,,,,,"945,5","945,5","945,4",3,73,"4,5",,0
03/06/2026,300,,,,,,,,,,"945,6","945,6","945,5","2,5",86,"4,1",,0
03/06/2026,400,,,,,,,,,,"945,4","945,6","945,4","4,2",82,5,,0
03/06/2026,500,,,,,,,,,,"945,5","945,6","945,4","3,9",85,5,,0
03/06/2026,600,,,,,,,,,,"944,9","945,5","944,9","4,1",87,"4,9",,0
03/06/2026,700,,,,,,,,,,"944,8",945,"944,7","4,6",94,"6,1",,0
03/06/2026,800,,,,,,,,,,"944,8","944,8","944,7","3,8",80,"6,1",,0
03/06/2026,900,,,,,,,,,,"945,1","945,1","944,7","3,5",86,"5,1",,0
03/06/2026,1000,,,,,,,,,,"945,5","945,5","945,1","3,8",76,6,,0
03/06/2026,1100,,,,,,,,,,"946,1","946,2","945,5","4,5",84,"5,7","46,7",0
03/06/2026,1200,,,,,,,,,,"946,6","946,6","946,1","2,5",84,6,"583,5",0
03/06/2026,1300,,,,,,,,,,"946,9","946,9","946,6","3,3",86,"5,4","1390,5",0
03/06/2026,1400,,,,,,,,,,"947,1","947,2","946,9","2,5",67,"4,9","1948,4",0
03/06/2026,1500,,,,,,,,,,"946,6","947,1","946,6","2,5",100,"4,5",2265,0
03/06/2026,1600,,,,,,,,,,"945,8","946,6","945,8","1,9",112,"4,5","2412,8",0
03/06/2026,1700,,,,,,,,,,"945,4","945,8","945,4","1,9",101,"4,4","2265,2",0
03/06/2026,1800,,,,,,,,,,"945,2","945,5","945,2","2,4",111,"5,4","1901,2",0
03/06/2026,1900,,,,,,,,,,"945,2","945,2",945,"3,4",149,"5,3","1396,6",0
03/06/2026,2000,,,,,,,,,,"945,1","945,2",945,"3,5",123,"6,1","720,1",0
03/06/2026,2100,,,,,,,,,,"945,2","945,3","945,1","3,8",110,"5,8","114,8",0
03/06/2026,2200,,,,,,,,,,"945,6","945,6","945,2",3,114,"5,5",,0
03/06/2026,2300,,,,,,,,,,"945,9",946,"945,6","2,9",112,"5,1",,0
04/06/2026,0,,,,,,,,,,"946,2","946,2","945,9","2,4",102,"4,1",,0
04/06/2026,100,,,,,,,,,,"946,3","946,3","946,1","2,7",70,"4,8",,0
04/06/2026,200,,,,,,,,,,"946,6","946,7","946,3","1,8",67,"5,7",,0
04/06/2026,300,,,,,,,,,,"946,7","946,8","946,6","3,4",88,"5,5",,0
04/06/2026,400,,,,,,,,,,"946,6","946,7","946,5","3,2",106,"5,7",,0
04/06/2026,500,,,,,,,,,,"946,8","946,8","946,6","4,1",95,"6,4",,0
04/06/2026,600,,,,,,,,,,"946,4","946,8","946,4","4,1",90,"5,6",,0
04/06/2026,700,,,,,,,,,,"946,3","946,4","946,2","4,9",89,"6,5",,0
04/06/2026,800,,,,,,,,,,946,"946,3","945,9","3,7",85,"6,5",,0
04/06/2026,900,,,,,,,,,,"946,5","946,5","945,9","3,7",90,"6,6",,0
04/06/2026,1000,,,,,,,,,,"946,9","946,9","946,5","3,6",94,"5,3",,0
04/06/2026,1100,,,,,,,,,,"947,5","947,5","946,9","3,8",94,"6,2","119,9",0
04/06/2026,1200,,,,,,,,,,948,948,"947,5",4,97,"6,4","747,3",0
04/06/2026,1300,,,,,,,,,,"948,1","948,2","947,9","3,2",96,"6,9","1408,4",0
04/06/2026,1400,,,,,,,,,,"948,2","948,2",948,"4,1",97,"6,4","1965,9",0
04/06/2026,1500,,,,,,,,,,"947,8","948,2","947,8","3,9",101,"7,2","2280,7",0
04/06/2026,1600,,,,,,,,,,"947,1","947,8","947,1","3,5",82,"6,1","2417,4",0
04/06/2026,1700,,,,,,,,,,"946,3","947,1","946,3","2,8",114,"5,3","2261,8",0
04/06/2026,1800,,,,,,,,,,"945,9","946,3","945,9","2,9",113,"5,4","1873,2",0
04/06/2026,1900,,,,,,,,,,"945,3","945,9","945,3","2,9",106,5,"1356,7",0
04/06/2026,2000,,,,,,,,,,"945,3","945,4","945,2","4,1",131,"5,1","697,3",0
04/06/2026,2100,,,,,,,,,,"945,3","945,4","945,2","3,1",117,"5,4","110,7",0
04/06/2026,2200,,,,,,,,,,"945,4","945,5","945,3","2,6",120,"4,8",,0
04/06/2026,2300,,,,,,,,,,"945,5","945,6","945,4","3,3",85,"5,5",,0
05/06/2026,0,,,,,,,,,,"945,5","945,5","945,4","3,3",92,"5,7",,0
05/06/2026,100,,,,,,,,,,"945,6","945,6","945,5","2,9",70,"5,6",,0
05/06/2026,200,,,,,,,,,,"945,7","945,7","945,6","1,2",75,"4,4",,0
05/06/2026,300,,,,,,,,,,"945,5","945,7","945,4",3,84,"5,2",,0
05/06/2026,400,,,,,,,,,,"945,5","945,5","945,4","2,3",86,"5,2",,0
05/06/2026,500,,,,,,,,,,"945,1","945,5","945,1","2,9",74,4,,0
05/06/2026,600,,,,,,,,,,"944,5","945,1","944,5","3,1",73,"5,1",,0
05/06/2026,700,,,,,,,,,,"944,1","944,5","944,1",3,72,"5,6",,0
05/06/2026,800,,,,,,,,,,"943,9","944,1","943,8","3,7",54,"6,5",,0
05/06/2026,900,,,,,,,,,,"944,2","944,2","943,9","3,2",52,"6,4",,0
05/06/2026,1000,,,,,,,,,,945,945,"944,2","1,8",66,"5,2",,0
05/06/2026,1100,,,,,,,,,,"945,6","945,6","944,9","1,8",77,"3,3","111,3",0
05/06/2026,1200,,,,,,,,,,"946,2","946,2","945,6","2,6",80,4,"724,7",0
05/06/2026,1300,,,,,,,,,,"946,2","946,4","946,2","3,8",62,"6,4","1379,9",0
05/06/2026,1400,,,,,,,,,,"946,2","946,3","946,1","3,4",31,"7,2","1933,8",0
05/06/2026,1500,,,,,,,,,,"945,7","946,2","945,7","3,7",33,"6,6","2226,9",0
05/06/2026,1600,,,,,,,,,,"944,8","945,7","944,8","3,7",20,"6,6","2206,3",0
05/06/2026,1700,,,,,,,,,,944,"944,8","943,9","3,2",16,"6,8",1757,0
05/06/2026,1800,,,,,,,,,,"943,5",944,"943,5","2,8",350,"6,8","1564,7",0
05/06/2026,1900,,,,,,,,,,"943,3","943,5","943,3",3,2,"5,8","1281,7",0
05/06/2026,2000,,,,,,,,,,"943,2","943,3","943,2","2,5",331,"4,9","707,6",0
05/06/2026,2100,,,,,,,,,,"943,3","943,4","943,2","0,9",346,"3,6","109,2",0
05/06/2026,2200,,,,,,,,,,"943,3","943,3","943,2","1,4",38,"1,6",,0
05/06/2026,2300,,,,,,,,,,"943,1","943,3","943,1","1,7",39,"3,2",,0
06/06/2026,0,,,,,,,,,,"943,3","943,4",943,"2,6",16,"3,2",,0
06/06/2026,100,,,,,,,,,,"942,9","943,3","942,9","3,4",25,"4,3",,0
06/06/2026,200,,,,,,,,,,"942,7","942,9","942,7","2,6",12,"4,6",,0
06/06/2026,300,,,,,,,,,,"942,2","942,7","942,2",3,26,"4,3",,0
06/06/2026,400,,,,,,,,,,942,"942,2",942,"2,6",23,"4,3",,0
06/06/2026,500,,,,,,,,,,"941,8",942,"941,8","2,6",31,"4,2",,0
06/06/2026,600,,,,,,,,,,"941,6","941,8","941,5",1,70,"4,2",,0
06/06/2026,700,,,,,,,,,,"941,3","941,6","941,3","1,3",85,"2,8",,0
06/06/2026,800,,,,,,,,,,"941,2","941,3","941,2","1,4",60,"2,8",,0
06/06/2026,900,,,,,,,,,,"941,3","941,3","940,9",2,59,4,,0
06/06/2026,1000,,,,,,,,,,"941,5","941,6","941,3","2,3",63,"3,5",,0
06/06/2026,1100,,,,,,,,,,"941,7","941,8","941,5",3,66,"4,2","109,8",0
06/06/2026,1200,,,,,,,,,,"942,1","942,1","941,7","1,6",47,"4,2","712,7",0
06/06/2026,1300,,,,,,,,,,"942,3","942,3","942,1","2,8",15,"4,7","1363,6",0
06/06/2026,1400,,,,,,,,,,"941,8","942,3","941,8","2,4",2,"4,8","1901,7",0
06/06/2026,1500,,,,,,,,,,"941,3","941,8","941,3","3,2",324,"5,7","2147,7",0
06/06/2026,1600,,,,,,,,,,"940,4","941,3","940,4",4,299,"6,5","2370,8",0
06/06/2026,1700,,,,,,,,,,"939,6","940,4","939,6","3,2",276,"7,1",2207,0
06/06/2026,1800,,,,,,,,,,"939,2","939,6","939,2","3,5",296,"6,1","1832,5",0
06/06/2026,1900,,,,,,,,,,939,"939,2","938,9","2,9",308,"6,1","1338,4",0
06/06/2026,2000,,,,,,,,,,939,"939,1",939,"3,1",221,"6,2",654,0
06/06/2026,2100,,,,,,,,,,"939,2","939,2",939,"1,7",203,"4,7","132,3",0
06/06/2026,2200,,,,,,,,,,"939,6","939,6","939,2","1,5",150,"2,6",,0
06/06/2026,2300,,,,,,,,,,"939,7","939,8","939,6","1,3",123,"2,2",,0
07/06/2026,0,,,,,,,,,,"939,9",940,"939,7","1,4",89,"1,8",,0
07/06/2026,100,,,,,,,,,,"939,7","939,9","939,6","1,2",58,3,,0
07/06/2026,200,,,,,,,,,,"939,7","939,8","939,7","1,2",70,"2,8",,0
07/06/2026,300,,,,,,,,,,"939,6","939,7","939,5","2,3",69,"3,4",,0
07/06/2026,400,,,,,,,,,,"939,4","939,6","939,3","2,5",53,"3,5",,0
07/06/2026,500,,,,,,,,,,"939,3","939,4","939,2","2,4",27,"3,2",,0
07/06/2026,600,,,,,,,,,,"939,1","939,3","939,1","1,8",58,"3,1",,0
07/06/2026,700,,,,,,,,,,"938,6","939,1","938,5",2,63,"2,8",,0
07/06/2026,800,,,,,,,,,,"938,2","938,6","938,2","2,7",44,"3,4",,0
07/06/2026,900,,,,,,,,,,"938,5","938,5","938,2","0,9",49,"3,4",,0
07/06/2026,1000,,,,,,,,,,"939,1","939,1","938,5",2,81,"3,5",,0
07/06/2026,1100,,,,,,,,,,"939,6","939,6","939,1","2,4",71,"3,3","40,5",0
07/06/2026,1200,,,,,,,,,,"939,9","939,9","939,6","2,7",57,"3,5","152,2",0
07/06/2026,1300,,,,,,,,,,"939,8",940,"939,8","3,3",16,"4,9","954,2",0
07/06/2026,1400,,,,,,,,,,"939,7",940,"939,7","3,3",357,"5,5","1851,9",0
07/06/2026,1500,,,,,,,,,,"939,4","939,7","939,4","3,7",335,"5,6","2163,8",0
07/06/2026,1600,,,,,,,,,,"938,8","939,4","938,8","2,1",357,"5,8","2339,1",0
07/06/2026,1700,,,,,,,,,,"937,9","938,8","937,9","2,5",298,"5,8","1858,9",0
07/06/2026,1800,,,,,,,,,,"937,9","937,9","937,8","2,6",340,"5,8","1763,6",0
07/06/2026,1900,,,,,,,,,,"937,7","937,9","937,7","2,4",188,"4,7","1589,9",0
07/06/2026,2000,,,,,,,,,,"937,9","937,9","937,7","1,4",186,"3,7","700,3",0
07/06/2026,2100,,,,,,,,,,"938,2","938,3","937,9","2,2",171,"3,2","91,3",0
