"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/06/2026";"0000";"14,3";"14,6";"14,3";"94,0";"94,0";"93,0";"13,3";"13,5";"13,3";"931,4";"931,4";"931,2";"1,4";"148,0";"3,5";"";"0,0"
"01/06/2026";"0100";"14,2";"14,3";"14,1";"94,0";"94,0";"94,0";"13,3";"13,4";"13,2";"931,2";"931,4";"931,2";"1,5";"162,0";"4,2";"";"0,0"
"01/06/2026";"0200";"14,3";"14,4";"14,2";"93,0";"94,0";"93,0";"13,3";"13,4";"13,2";"931,8";"931,8";"931,2";"0,8";"211,0";"3,1";"";"0,0"
"01/06/2026";"0300";"14,7";"14,7";"14,3";"90,0";"94,0";"90,0";"13,1";"13,5";"13,1";"931,7";"931,9";"931,7";"1,1";"91,0";"1,9";"";"0,0"
"01/06/2026";"0400";"14,9";"15,0";"14,6";"87,0";"90,0";"85,0";"12,8";"13,0";"12,3";"931,7";"931,7";"931,6";"0,7";"162,0";"3,1";"";"0,0"
"01/06/2026";"0500";"14,7";"15,0";"14,7";"85,0";"88,0";"85,0";"12,2";"13,0";"12,2";"931,2";"931,7";"931,2";"1,2";"92,0";"3,0";"";"0,0"
"01/06/2026";"0600";"14,0";"14,7";"14,0";"86,0";"87,0";"85,0";"11,8";"12,4";"11,7";"930,7";"931,2";"930,7";"1,1";"119,0";"3,0";"";"0,0"
"01/06/2026";"0700";"12,7";"14,0";"12,7";"90,0";"90,0";"86,0";"11,1";"11,7";"11,1";"930,1";"930,7";"930,1";"0,9";"66,0";"3,0";"";"0,0"
"01/06/2026";"0800";"12,4";"12,9";"12,3";"92,0";"92,0";"90,0";"11,3";"11,4";"10,9";"930,1";"930,1";"929,9";"0,6";"10,0";"1,7";"";"0,0"
"01/06/2026";"0900";"12,7";"12,7";"12,4";"93,0";"94,0";"92,0";"11,6";"11,7";"11,1";"930,4";"930,4";"930,1";"0,4";"216,0";"1,6";"";"0,0"
